nba_id,year,player_name,bref_id,team,FT_PERC,FTPerc,games,is_aggregate_team
960,1997,Tony Delk,delkto01,CHH,0.824,0.824,61,False
434,1997,Tony Dumas,dumasto01,2TM,0.64,0.64,24,True
763,1997,Tony Massenburg,masseto01,NJN,0.631,0.631,79,False
380,1997,Tony Smith,smithto02,CHH,0.644,0.644,69,False
929,1997,Tracy Moore,mooretr01,HOU,0.71,0.71,27,False
145,1997,Tracy Murray,murratr01,WSB,0.839,0.839,82,False
696,1997,Travis Best,besttr01,IND,0.756,0.756,76,False
969,1997,Travis Knight,knightr01,LAL,0.62,0.62,71,False
895,1997,Tyrone Corbin,corbity01,ATL,0.796,0.796,70,False
238,1997,Tyrone Hill,hillty01,CLE,0.633,0.633,74,False
721,1997,Tyus Edney,edneyty01,SAC,0.823,0.823,70,False
137,1997,Vernon Maxwell,maxweve01,SAS,0.744,0.744,72,False
452,1997,Vin Baker,bakervi01,MIL,0.687,0.687,78,False
355,1997,Vincent Askew,askewvi01,3TM,0.795,0.795,43,True
219,1997,Vinny Del Negro,delnevi01,SAS,0.868,0.868,72,False
958,1997,Vitaly Potapenko,potapvi01,CLE,0.736,0.736,80,False
124,1997,Vlade Divac,divacvl01,CHH,0.683,0.683,81,False
702,1997,Voshon Lenard,lenarvo01,MIA,0.819,0.819,73,False
1005,1997,Walt Williams,williwa02,TOR,0.765,0.765,73,False
962,1997,Walter McCarty,mccarwa01,NYK,0.571,0.571,35,False
47,1997,Wayman Tisdale,tisdawa01,PHO,0.625,0.625,53,False
445,1997,Wesley Person,persowe01,PHO,0.798,0.798,80,False
781,1997,Will Perdue,perduwi01,SAS,0.579,0.579,65,False
335,1997,Willie Anderson,anderwi01,MIA,0.85,0.85,28,False
416,1997,Willie Burton,burtowi01,ATL,0.838,0.838,24,False
1365,1997,Xavier McDaniel,mcdanxa01,NJN,0.73,0.73,62,False
212,1997,Yinka Dare,dareyi01,NJN,0.514,0.514,41,False
36,1997,Šarūnas Marčiulionis,marcisa01,DEN,0.806,0.806,17,False
440,1997,Žan Tabak,tabakza01,TOR,0.69,0.69,13,False
920,1998,A.C. Green,greenac01,DAL,0.716,0.716,82,False
243,1998,Aaron McKie,mckieaa01,2TM,0.764,0.764,81,True
1425,1998,Aaron Williams,williaa01,SEA,0.776,0.776,65,False
228,1998,Adam Keefe,keefead01,UTA,0.81,0.81,80,False
1502,1998,Adonal Foyle,foylead01,GSW,0.435,0.435,55,False
154,1998,Adrian Caldwell,caldwad01,DAL,,,1,False
673,1998,Alan Henderson,hendeal01,ATL,0.652,0.652,69,False
275,1998,Allan Houston,houstal01,NYK,0.851,0.851,82,False
947,1998,Allen Iverson,iversal01,PHI,0.729,0.729,80,False
297,1998,Alonzo Mourning,mournal01,MIA,0.665,0.665,58,False
175,1998,Alton Lister,listeal01,POR,,,7,False
1541,1998,Alvin Williams,willial02,2TM,0.722,0.722,54,True
692,1998,Andrew DeClercq,declean01,BOS,0.601,0.601,81,False
457,1998,Andrew Lang,langan01,MIL,0.772,0.772,57,False
358,1998,Anfernee Hardaway,hardaan01,ORL,0.763,0.763,19,False
194,1998,Anthony Bowie,bowiean01,NYK,0.889,0.889,27,False
924,1998,Anthony Goldwire,goldwan01,DEN,0.806,0.806,82,False
1533,1998,Anthony Johnson,johnsan02,SAC,0.727,0.727,77,False
193,1998,Anthony Mason,masonan01,CHH,0.649,0.649,81,False
292,1998,Anthony Miller,millean01,ATL,0.538,0.538,37,False
1515,1998,Anthony Parker,parkean01,PHI,0.65,0.65,37,False
324,1998,Anthony Peeler,peelean01,2TM,0.766,0.766,38,True
156,1998,Antoine Carr,carran01,UTA,0.776,0.776,66,False
952,1998,Antoine Walker,walkean02,BOS,0.645,0.645,82,False
1498,1998,Antonio Daniels,daniean01,VAN,0.659,0.659,74,False
213,1998,Antonio Davis,davisan01,IND,0.696,0.696,82,False
226,1998,Antonio Lang,langan02,MIA,0.75,0.75,6,False
686,1998,Antonio McDyess,mcdyean01,PHO,0.702,0.702,81,False
288,1998,Armen Gilliam,gilliar01,MIL,0.802,0.802,82,False
717,1998,Arvydas Sabonis,sabonar01,POR,0.798,0.798,73,False
1506,1998,Austin Croshere,croshau01,IND,0.571,0.571,26,False
422,1998,Avery Johnson,johnsav01,SAS,0.726,0.726,75,False
769,1998,B.J. Armstrong,armstbj01,2TM,0.84,0.84,66,True
989,1998,Ben Davis,davisbe01,NYK,,,7,False
1112,1998,Ben Wallace,wallabe01,WAS,0.357,0.357,67,False
104,1998,Benoit Benjamin,benjabe01,PHI,0.633,0.633,14,False
223,1998,Bill Curley,curlebi01,MIN,0.667,0.667,11,False
